MOLECULE_NAME,y_actual,y_pred,residual,leverage,std_residual
103-45-7,2.3,2.3851225,-0.08512250000000021,0.11743777503834765,-0.1459335371497739
103-47-9,-2.2,-0.99885285,-1.2011471500000002,0.20424433574377254,-2.0928396752746643
103-50-4,3.31,3.3406868,-0.030686799999999792,0.3079039298901065,-0.05097040307999691
103-52-6,2.48,2.8589137,-0.3789137,0.11962731991814451,-0.6584525846520642
103-60-6,3.2,2.8440108,0.3559892000000002,0.22636127188301114,0.6235862725862442
103-63-9,3.09,3.2792451,-0.18924509999999994,0.11547237421101333,-0.32757551885467817
103-65-1,3.69,3.536255,0.1537449999999998,0.10616221442792532,0.27077105978591864
103-82-2,1.41,1.819371,-0.40937100000000015,0.34007382544144643,-0.7115853755099647
103-90-2,0.468,1.0596316,-0.5916315999999999,0.2853578416944851,-1.0295391777654301
1034-01-1,3.66,3.7604601,-0.10046009999999983,0.27932699614117673,-0.17268999596464288
104-51-8,4.38,3.9572818,0.4227181999999998,0.09383087424166386,0.7399950810215552
104-54-1,1.7,2.1077764,-0.40777640000000015,0.1263496107252361,-0.7088035941865378
104-72-3,7.37,7.8121867,-0.4421866999999997,0.06879966708866392,-0.7688323975688987
104-76-7,3.1,2.9580162,0.14198380000000022,0.10553725214141275,0.2502536344121031
104-83-6,3.18,2.4859667,0.6940333000000001,0.1507317677620345,1.2133045491914285
104-93-8,2.66,2.0987267,0.5612733000000003,0.11228499938929529,0.9817045940314237
104-94-9,0.95,0.65898025,0.2910197499999999,0.24814237421681296,0.5102470009172907
105-05-5,4.45,3.8704584,0.5795416000000002,0.2839519121140295,1.0135736619799738
105-11-3,1.49,1.1685401,0.3214599,0.22002746390381023,0.5633498735827309
105-13-5,1.1,1.1806599,-0.0806598999999999,0.15911850274078676,-0.13814852690649945
105-36-2,1.12,0.6690672,0.45093280000000013,0.06518896215687164,0.789215479446213
105-37-3,1.21,1.1289314,0.08106860000000005,0.11416978462648757,0.1439870059956916
105-38-4,1.36,0.92769796,0.43230204000000005,0.2902117871856312,0.7567140996586501
105-39-5,0.94,0.830056,0.10994399999999993,0.11114516772593162,0.19436017069309433
105-45-3,-0.33,-0.6143724,0.2843724,0.17650765231852072,0.49865069207477153
105-46-4,1.615,1.4000248,0.21497520000000003,0.15853555046369425,0.3775872060230247
105-53-3,0.96,0.8831699,0.07683010000000001,0.19978610659105572,0.1365929384305689
105-58-8,1.21,0.72584796,0.48415204,0.16729736245965426,0.8471664774459826
105-67-9,2.3,2.1712446,0.12875539999999974,0.11728626493022104,0.22717667714456222
105-74-8,6.5,5.9721107,0.5278893,0.2568350724712203,0.9234661720439148
105-87-3,4.04,4.102498,-0.06249799999999972,0.2819499718207521,-0.10646507386627244
105-99-7,4.17,4.131627,0.03837299999999999,0.2610570669929525,0.06950448832825012
