MOLECULE_NAME,y_actual,y_pred
305-748-02,4.03,4.07161751493319
305-750-02,3.73,3.747299023314066
305-752-02,1.68,1.6436927721644485
305-756-02,3.19,3.18586600135241
305-757-02,2.43,2.451880226242933
305-758-02,2.74,2.7377695617914366
305-759-02,2.81,2.8277840962398546
305-760-02,2.12,2.143112791246446
305-761-02,2.51,2.4944876876785447
305-762-02,4.02,4.005748289420595
305-763-02,3.74,3.7271609858877657
305-764-02,3.61,3.6198201217536057
305-765-02,2.72,2.7342087877126184
305-766-02,1.95,1.9325319461805366
305-778-02,2.45,2.4700865860731067
305-779-02,3.45,3.464104683669281
305-780-02,3.56,3.5610065756015086
305-790-02,1.92,1.9114455421772751
305-791-02,1.52,1.5060527330732696
305-794-02,2.52,2.5154246206910367
305-795-02,3.43,3.4245476654873284
305-796-02,1.74,1.7454319191471426
305-797-02,3.25,3.0829874032576465
305-810-02,2.39,2.39027357211106
305-811-02,3.82,3.840223148990826
305-821-02,2.21,2.1977410520124208
305-822-02,2.67,2.632237592595821
306-001-09,2.52,2.5391741859285557
306-032-03,3.11,3.099864991908971
306-032-04,2.47,2.48623647570966
306-033-01,2.59,2.611533041198892
306-043-03,1.61,1.6247070528534775
306-044-02,1.88,1.9094561948638744
306-045-03,3.16,3.1560921249035583
306-046-02,0.98,1.0087080256437169
306-046-04,1.58,1.5759341908197717
306-046-05,1.12,1.146880214499577
306-047-02,1.7,2.0572234449872515
306-048-01,3.36,3.3547589414575967
306-048-02,1.25,1.2498138219835626
306-049-02,1.3,1.3318750140871574
306-050-04,0.31,0.822398544455798
306-054-01,0.81,0.8007466641823968
306-055-01,0.57,1.0694451668082419
306-056-01,1.91,2.158159404292274
306-057-01,2.03,2.265858357028894
306-058-01,1.44,1.3685358525880047
306-059-01,3.15,3.014979343429373
306-060-01,1.17,1.1980603638217366
306-061-01,2.76,2.779580680305928
306-062-01,2.81,3.0598442458770903
306-063-01,2.87,2.8566862799415738
306-064-01,3.97,3.9930487278755495
306-065-01,3.93,3.9380756302625572
306-066-04,3.28,3.269241906210018
306-066-05,2.39,2.415714574140091
306-067-03,3.06,3.0544825383429117
306-068-02,3.36,3.346238463167543
306-068-04,2.5,2.5346199341769373
306-069-02,4.04,4.037378523051325
306-069-03,2.7,2.695506582589102
306-070-02,2.48,2.4762053717357504
306-072-02,1.62,1.662786557673686
306-073-02,1.54,1.5654985207493133
306-074-02,2.44,2.4183783381515855
306-075-02,2.32,2.336833262588775
306-076-01,3.56,3.4455746954197792
306-076-02,2.72,2.700545845342406
306-077-02,2.63,2.659821730844362
306-078-02,2.61,2.580816350290845
306-078-04,3.04,3.0269418367036427
306-078-05,3.36,3.1976314146657003
306-079-02,2.52,2.580816350290845
306-079-03,3.22,3.2282754505561826
306-079-04,2.87,2.829576775503523
306-080-01,4.0,3.8302443116289355
306-081-01,3.75,3.7564418776442423
306-085-01,3.25,3.272512646163392
306-086-01,3.71,3.7214064876162523
306-087-02,2.04,2.0432825683840132
306-088-02,2.01,2.0432825683840132
306-089-13,1.28,1.298331456313282
306-091-01,2.89,2.8687790874425403
306-092-01,2.32,2.3108917839664214
306-092-02,3.04,3.0430325190456404
306-094-04,2.04,2.2181681869584944
306-095-02,0.79,0.787083869079737
306-096-02,0.75,0.7609714481281031
